Macrovipera schweizeri;Cyclades Blunt-nosed Viper;Endangered;Stable;http://www.iucnredlist.org/apps/redlist/details/12654/0
Aquilegia barbaricina;Barbaricina Colombine;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61671/0
Micropyropsis tuberosa;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/162107/0
Anaglyptus luteofasciatus;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/157814/0
Narcissus radinganorum;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61605/0
Iberolacerta cyreni;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61514/0
Mustela lutreola;European Mink;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/14018/0
Alburnus sarmaticus;Pontian Shemaya;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135590/0
Cobitis vettonica;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60347/0
Parabythinella macedonica;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155612/0
Polygala sinisica;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61669/0
Acipenser stellatus;Stellate Sturgeon;Endangered;;http://www.iucnredlist.org/apps/redlist/details/255/0
Arenaria nevadensis;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61634/0
Pelasgus laconicus;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61374/0
Branta ruficollis;Red-breasted Goose;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/141456/0
Radix pinteri;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/155759/0
Graziana provincialis;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155945/0
Bupleurum elatum;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61610/0
Rana pyrenaica;Pyrenean Frog;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/19183/0
Chalcides mauritanicus;Two-fingered Skink;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61479/0
Gallotia bravoana;La Gomera Giant Lizard;Critically Endangered;Increasing;http://www.iucnredlist.org/apps/redlist/details/61502/0
Cordulegaster helladica;Greek Goldenring;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/59706/0
Pelophylax cerigensis;Karpathos Frog;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/58567/0
Silene hicesiae;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61643/0
Bythiospeum bormanni;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/155867/0
Lamyropsis microcephala;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61625/0
Salvelinus grayi;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/135413/0
Belgrandiella parreyssii;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/2734/0
Epinephelus marginatus;Dusky Grouper;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/7859/0
Scardinius scardafa;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61217/0
Euproctus platycephalus;Sardinian Brook Salamander;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/8371/0
Chalcides parallelus;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61484/0
Squalius torgalensis;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/60857/0
Bythinella eutrepha;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155832/0
Cerastium sventenii;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61635/0
Equus ferus;Asiatic Wild Ass;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/7951/0
Lynx pardinus;Iberian Lynx;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/12520/0
Narcissus longispathus;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61602/0
